time_code,year,month,day,week
20150921,2015,9,21,39
20150922,2015,9,22,39
20150923,2015,9,23,39
20150924,2015,9,24,39
20150925,2015,9,25,39
20150926,2015,9,26,39
20150927,2015,9,27,39
20150928,2015,9,28,40
20150929,2015,9,29,40
20150930,2015,9,30,40
20151001,2015,10,1,40
20151002,2015,10,2,40
20151003,2015,10,3,40
20151004,2015,10,4,40
20151005,2015,10,5,41
20151006,2015,10,6,41
20151007,2015,10,7,41
20151008,2015,10,8,41
20151009,2015,10,9,41
20151010,2015,10,10,41
20151011,2015,10,11,41
20151012,2015,10,12,42
20151013,2015,10,13,42
20151014,2015,10,14,42
20151015,2015,10,15,42
20151016,2015,10,16,42
20151017,2015,10,17,42
20151018,2015,10,18,42
20151019,2015,10,19,43
20151020,2015,10,20,43
20151021,2015,10,21,43
20151022,2015,10,22,43
20151023,2015,10,23,43
20151024,2015,10,24,43
20151025,2015,10,25,43
20151026,2015,10,26,44
20151027,2015,10,27,44
20151028,2015,10,28,44
20151029,2015,10,29,44
20151030,2015,10,30,44
20151031,2015,10,31,44
20151101,2015,11,1,44
20151102,2015,11,2,45
20151103,2015,11,3,45
20151104,2015,11,4,45
20151105,2015,11,5,45
20151106,2015,11,6,45
20151107,2015,11,7,45
20151108,2015,11,8,45
20151109,2015,11,9,46
20151110,2015,11,10,46
20151111,2015,11,11,46
20151112,2015,11,12,46
20151113,2015,11,13,46
20151114,2015,11,14,46
20151115,2015,11,15,46
20151116,2015,11,16,47
20151117,2015,11,17,47
20151118,2015,11,18,47
20151119,2015,11,19,47
20151120,2015,11,20,47
20151121,2015,11,21,47
20151122,2015,11,22,47
20151123,2015,11,23,48
20151124,2015,11,24,48
20151125,2015,11,25,48
20151126,2015,11,26,48
20151127,2015,11,27,48
20151128,2015,11,28,48
20151129,2015,11,29,48
20151130,2015,11,30,49
20151201,2015,12,1,49
20151202,2015,12,2,49
20151203,2015,12,3,49
20151204,2015,12,4,49
20151205,2015,12,5,49
20151206,2015,12,6,49
20151207,2015,12,7,50
20151208,2015,12,8,50
20151209,2015,12,9,50
20151210,2015,12,10,50
20151211,2015,12,11,50
20151212,2015,12,12,50
20151213,2015,12,13,50
20151214,2015,12,14,51
20151215,2015,12,15,51
20151216,2015,12,16,51
20151217,2015,12,17,51
20151218,2015,12,18,51
20151219,2015,12,19,51
20151220,2015,12,20,51
20151221,2015,12,21,52
20151222,2015,12,22,52
20151223,2015,12,23,52
20151224,2015,12,24,52
20151225,2015,12,25,52
20151226,2015,12,26,52
20151227,2015,12,27,52
20151228,2015,12,28,53
20151229,2015,12,29,53
20151230,2015,12,30,53
20151231,2015,12,31,53
20160101,2016,1,1,1
20160102,2016,1,2,1
20160103,2016,1,3,1
20160104,2016,1,4,2
20160105,2016,1,5,2
20160106,2016,1,6,2
20160107,2016,1,7,2
20160108,2016,1,8,2
20160109,2016,1,9,2
20160110,2016,1,10,2
20160111,2016,1,11,3
20160112,2016,1,12,3
20160113,2016,1,13,3
20160114,2016,1,14,3
20160115,2016,1,15,3
20160116,2016,1,16,3
20160117,2016,1,17,3
20160118,2016,1,18,4
20160119,2016,1,19,4
20160120,2016,1,20,4
20160121,2016,1,21,4
20160122,2016,1,22,4
20160123,2016,1,23,4
20160124,2016,1,24,4
20160125,2016,1,25,5
20160126,2016,1,26,5
20160127,2016,1,27,5
20160128,2016,1,28,5
20160129,2016,1,29,5
20160130,2016,1,30,5
20160131,2016,1,31,5
20160201,2016,2,1,6
20160202,2016,2,2,6
20160203,2016,2,3,6
20160204,2016,2,4,6
20160205,2016,2,5,6
20160206,2016,2,6,6
20160207,2016,2,7,6
20160208,2016,2,8,7
20160209,2016,2,9,7
20160210,2016,2,10,7
20160211,2016,2,11,7
20160212,2016,2,12,7
20160213,2016,2,13,7
20160214,2016,2,14,7
20160215,2016,2,15,8
20160216,2016,2,16,8
20160217,2016,2,17,8
20160218,2016,2,18,8
20160219,2016,2,19,8
20160220,2016,2,20,8
20160221,2016,2,21,8
20160222,2016,2,22,9
20160223,2016,2,23,9
20160224,2016,2,24,9
